title,material,weight,transport,recyclability,true_eco_score,co2_emissions,origin,material_confidence,secondary_materials,packaging_type,packaging_materials,packaging_weight_ratio,inferred_category,origin_confidence,estimated_lifespan_years,repairability_score,size_category,quality_level,is_eco_labeled,is_amazon_choice,pack_size,estimated_volume_l,weight_confidence
reusable water bottle,Bamboo,0.1,Ship,Medium,A+,0.04,SINGAPORE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,1.87,Air,High,F,5.89,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.56,Air,Low,F,1.68,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.5,Ship,Medium,D,0.54,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.23,Land,High,C,0.29,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.84,Land,Medium,C,0.76,ITALY,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Glass,1.05,Ship,High,B,0.88,CHINA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,1.43,Ship,Medium,D,1.03,INDIA,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.15,Ship,Medium,D,0.05,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.73,Ship,High,C,0.74,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,1.13,Land,Low,C,1.36,CHINA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.99,Ship,Low,C,0.95,CHINA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.85,Land,Medium,F,0.38,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.27,Land,High,D,1.42,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,0.89,Land,High,D,1.0,NORWAY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.11,Land,High,D,1.24,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.19,Ship,Low,F,0.18,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.94,Air,High,F,1.64,SINGAPORE,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.91,Ship,Medium,A,0.46,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.75,Land,High,D,1.96,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.92,Ship,High,C,0.93,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,0.73,Ship,High,F,0.65,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.86,Ship,Medium,D,0.8,SINGAPORE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.4,Air,Medium,F,0.63,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.47,Ship,Medium,B,0.24,UK,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.6,Ship,Medium,D,0.69,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.97,Air,High,F,5.52,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,0.59,Air,High,F,1.65,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.8,Air,Low,F,2.4,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.52,Air,Medium,F,0.59,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,1.44,Air,Low,F,3.6,USA,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.29,Ship,High,C,0.29,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.12,Ship,Medium,B,0.04,NORWAY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.66,Ship,Low,D,0.63,USA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Glass,1.54,Ship,High,D,1.29,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,0.81,Air,High,F,2.27,USA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,0.86,Air,High,F,2.41,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.94,Land,Medium,E,0.59,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,1.7,Land,Medium,D,1.07,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Glass,0.15,Ship,High,B,0.13,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.51,Land,Medium,D,0.82,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Glass,0.94,Land,High,A,0.99,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.43,Ship,High,C,0.43,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.6,Land,Medium,D,0.72,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.73,Land,Low,B,0.73,CHINA,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.33,Air,Medium,F,1.8,SINGAPORE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.98,Land,High,D,0.69,ITALY,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.63,Ship,Medium,D,0.7,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.24,Air,Low,F,0.72,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.4,Land,Medium,D,0.76,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.11,Land,Medium,D,0.05,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.89,Ship,Medium,D,0.68,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.93,Air,Medium,F,2.17,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,0.54,Ship,Medium,D,0.23,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,1.28,Land,Low,D,1.54,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.47,Air,High,F,4.12,BRAZIL,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.42,Air,Medium,F,0.66,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.05,Ship,Medium,A,0.38,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.86,Land,Medium,D,1.0,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,1.91,Ship,Low,D,1.83,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.31,Land,Medium,D,0.71,CHINA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,0.5,Land,Medium,D,0.45,ITALY,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.17,Ship,Medium,A,0.09,UK,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.62,Ship,Medium,D,0.31,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.99,Air,High,F,3.12,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.78,Land,Medium,D,0.8,USA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,1.88,Ship,Medium,D,0.95,USA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.74,Land,Medium,D,0.47,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,1.85,Ship,Medium,D,0.67,CHINA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.25,Air,High,F,0.79,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Steel,0.97,Ship,High,C,0.98,RUSSIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,1.95,Ship,Medium,D,0.98,INDIA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.6,Land,Medium,E,0.38,FRANCE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.84,Air,High,F,5.15,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Paper,0.46,Ship,Medium,D,0.17,NORWAY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.5,Air,Low,F,1.5,ITALY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.75,Ship,Low,B,0.72,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Bamboo,1.14,Land,Medium,E,0.62,UK,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,1.95,Land,Low,D,2.34,SINGAPORE,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,0.6,Land,Low,C,0.72,USA,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,1.61,Air,Medium,F,3.62,ITALY,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Other,1.47,Ship,Low,D,1.18,FRANCE,0.3,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,1.59,Land,Medium,D,1.0,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Plastic,1.78,Air,Low,F,5.34,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Aluminum,1.08,Air,High,F,3.02,JAPAN,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
reusable water bottle,Cardboard,0.34,Land,Medium,E,0.21,GERMANY,0.4,[],bottle,"['Plastic', 'Glass']",0.15,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,1.5,Ship,Low,D,1.44,JAPAN,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.46,Ship,Medium,E,0.23,FRANCE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Glass,0.26,Ship,High,B,0.22,USA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,0.36,Land,High,C,0.45,ITALY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Bamboo,1.89,Land,Medium,D,1.02,GERMANY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.36,Air,Medium,F,0.57,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,0.63,Land,Low,C,0.76,JAPAN,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Other,0.73,Air,Medium,F,1.64,UK,0.3,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.12,Ship,Medium,D,0.06,BRAZIL,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,1.81,Land,Low,D,2.17,JAPAN,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.6,Ship,Medium,A,0.3,NORWAY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Aluminum,1.53,Land,High,D,1.71,USA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Glass,0.66,Air,High,F,1.73,BRAZIL,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,1.94,Land,Low,D,2.33,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,0.13,Land,High,C,0.16,RUSSIA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Bamboo,1.56,Ship,Medium,D,0.67,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Aluminum,0.86,Air,High,F,2.41,ITALY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,1.63,Ship,Low,D,1.56,GERMANY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Glass,1.25,Air,High,F,3.28,BRAZIL,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,1.83,Land,Medium,D,1.15,JAPAN,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,1.61,Air,Medium,F,2.54,FRANCE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Paper,1.56,Land,Medium,D,0.7,BRAZIL,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,0.28,Land,High,C,0.35,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Bamboo,1.99,Land,Medium,D,1.07,ITALY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,1.46,Ship,Medium,D,0.74,NORWAY,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Other,1.77,Land,Medium,D,1.59,FRANCE,0.3,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,0.99,Air,Low,F,2.97,CHINA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,1.75,Land,High,D,2.2,CHINA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,0.63,Land,High,C,0.79,RUSSIA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Paper,0.28,Air,Medium,F,0.32,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Steel,0.35,Air,High,F,1.1,FRANCE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.78,Land,Medium,E,0.49,INDIA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.8,Air,Medium,F,1.26,INDIA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Cardboard,0.51,Air,Medium,F,0.8,USA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Aluminum,1.9,Air,High,F,5.32,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,0.89,Air,Low,F,2.67,CHINA,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Paper,0.87,Air,Medium,F,0.98,UK,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Paper,1.8,Land,Medium,D,0.81,BRAZIL,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Aluminum,0.62,Land,High,D,0.69,FRANCE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,0.73,Ship,Low,B,0.7,SINGAPORE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
bamboo toothbrush,Plastic,0.1,Land,Low,C,0.12,FRANCE,0.4,['Wood'],box,"['Cardboard', 'Paper']",0.05,other,0.8,3.0,5,medium,standard,False,False,1,1.0,0.6
